Date,Open,High,Low,Close,Volume
2016-05-04,260000,260500,253500,259500,210486
2016-05-09,253500,257500,253500,254500,119085
2016-05-10,254500,261500,254500,260500,120882
2016-05-11,259000,262000,257000,262000,84661
2016-05-12,263000,263000,254500,258500,129752
2016-05-13,258500,258500,254500,258500,81113
2016-05-16,255500,256000,251000,253500,146007
2016-05-17,252000,256000,250500,256000,101444
2016-05-18,253000,253000,246500,248000,174638
2016-05-19,243500,247000,240500,242500,253884
2016-05-20,242500,245000,241000,243500,132366
2016-05-23,243000,246000,238500,245000,106650
2016-05-24,244000,244500,240000,240500,121160
2016-05-25,241000,249500,241000,244500,137076
2016-05-26,245500,257000,245500,253500,211656
2016-05-27,256500,257000,253000,255500,135504
2016-05-30,252000,257000,251500,254500,97077
2016-05-31,252000,260000,251500,255000,303578
2016-06-01,251500,258000,251500,255000,154324
2016-06-02,253500,257500,252000,255000,92355
2016-06-03,253000,256000,252500,255000,93004
2016-06-07,252000,254000,249000,252000,148101
2016-06-08,251500,257500,251000,256500,145056
2016-06-09,256500,257500,249500,255000,223883
2016-06-10,255000,258000,250500,256500,162845
2016-06-13,253500,256500,252500,254000,70547
2016-06-14,255000,257000,249500,253000,97312
2016-06-15,253500,266000,253000,265500,282936
2016-06-16,264000,265000,258500,263000,173635
2016-06-17,264000,264500,257000,258500,129717
2016-06-20,265000,270000,260500,266000,217845
2016-06-21,265000,272000,264000,267000,150982
2016-06-22,268000,269500,261000,264000,178903
2016-06-23,263000,267000,262500,264500,123729
2016-06-24,265000,268000,246000,258500,248979
2016-06-27,264000,265500,254000,262500,148046
2016-06-28,258000,264500,258000,261500,118743
2016-06-29,260000,261000,256000,258500,109242
2016-06-30,258000,260000,249000,252000,314770
2016-07-01,253000,260500,251000,258500,219529
2016-07-04,257000,260500,253500,259500,154259
2016-07-05,257500,259000,254000,255000,96112
2016-07-06,255000,255000,246000,247500,185484
2016-07-07,248500,254000,248000,252500,106236
2016-07-08,252500,254000,247500,249500,119802
2016-07-11,251500,257000,251000,256500,120511
2016-07-12,258000,264000,257000,262000,189122
2016-07-13,265000,267500,258500,261000,144119
2016-07-14,263500,266000,261500,265000,163342
2016-07-15,263500,266000,261000,265500,110468
2016-07-18,264000,264000,256000,259500,136630
2016-07-19,258500,260500,254000,260500,114174
2016-07-20,258500,261500,256000,261500,70752
2016-07-21,262500,263000,256500,259000,77231
2016-07-22,261500,263500,259500,263000,97916
2016-07-25,265000,266000,259000,266000,126032
2016-07-26,267000,267000,261000,263500,94665
2016-07-27,264500,266500,263500,266000,70649
2016-07-28,265000,268500,261500,268500,153679
