Date,Open,High,Low,Close,Volume
2015-03-31,41750,42100,41500,41950,955877
2015-04-01,42100,42300,41000,41200,604384
2015-04-02,41000,41250,40950,41100,847139
2015-04-03,41050,41450,41050,41400,425698
2015-04-06,41200,41300,40700,40750,891953
2015-04-07,40800,41000,39900,40050,1195164
2015-04-08,39900,39950,39050,39400,1774884
2015-04-09,39800,39850,39000,39300,1509149
2015-04-10,39750,40500,39500,40350,1577508
2015-04-13,40700,41300,40150,41100,1998480
2015-04-14,41050,43400,41000,42950,2764169
2015-04-15,43600,43600,41700,41900,1661865
2015-04-16,41800,42750,41100,42650,1248754
2015-04-17,43000,43200,42650,43050,988329
2015-04-20,42700,43350,42450,42950,1326431
2015-04-21,43050,43050,42350,42600,675105
2015-04-22,42800,43100,42600,43100,1073301
2015-04-23,44200,45150,43350,44700,2201006
2015-04-24,44900,47050,44900,45400,2475419
2015-04-27,46100,46250,44700,44950,1095426
2015-04-28,44950,45300,44050,44050,685213
2015-04-29,44000,45650,44000,45400,1073621
2015-04-30,45800,45900,44200,44200,1113586
2015-05-04,44900,46200,44650,46000,884514
2015-05-06,45100,46250,44900,45800,860305
2015-05-07,45550,45650,43750,44350,1203029
2015-05-08,44550,45100,43550,43950,751185
2015-05-11,44700,44700,43900,43900,525431
2015-05-12,43900,45300,43600,45000,735113
2015-05-13,44350,45150,44350,44850,1002087
2015-05-14,44100,45500,43800,45500,857126
2015-05-15,45050,45700,44300,44450,653640
2015-05-18,44600,44600,43700,43850,484325
2015-05-19,43550,43800,43000,43000,824528
2015-05-20,43000,43700,42900,43650,571356
2015-05-21,43150,43500,42650,42750,764211
2015-05-22,42550,43250,42500,42800,816879
2015-05-26,42500,42600,41750,41800,750926
2015-05-27,41200,41600,40100,40200,2122921
2015-05-28,40500,41500,40000,40950,1684359
2015-05-29,41000,41900,40500,41900,1575045
2015-06-01,41800,41800,40600,40900,783179
2015-06-02,41000,41250,40550,40550,690166
2015-06-03,40950,41450,40800,41150,716517
2015-06-04,40750,41150,40550,40600,746786
