Date,Open,High,Low,Close,Volume
2010-03-17,10280,10420,10260,10400,1372400
2010-03-18,10440,10460,10380,10420,520750
2010-03-19,10500,10500,10380,10480,329100
2010-03-22,10400,10460,10320,10340,510800
2010-03-23,10460,10500,10400,10480,535600
2010-03-24,10480,10660,10460,10600,1385000
2010-03-25,10600,10700,10600,10600,2150850
2010-03-26,10700,10700,10580,10700,1007700
2010-03-29,10640,10900,10640,10800,1312800
2010-03-30,10900,10980,10880,10980,1451300
2010-03-31,10980,11000,10700,10760,1474150
2010-04-01,10820,11100,10820,11080,1651050
2010-04-02,11100,11200,11080,11180,620700
2010-04-05,11220,11500,11160,11500,1264900
2010-04-06,11560,11580,11440,11560,716000
2010-04-07,11500,11540,11400,11480,1575250
2010-04-08,11420,11440,11380,11420,1549400
2010-04-09,11420,11420,11080,11160,1110050
2010-04-12,11040,11080,10560,10600,2733650
2010-04-13,10600,10660,10480,10600,2624650
2010-04-14,10720,10880,10680,10860,1164600
2010-04-15,10960,11000,10700,10880,1936700
2010-04-16,10860,10920,10840,10900,1033350
2010-04-19,10840,10920,10640,10640,1279250
2010-04-20,10740,10740,10580,10700,995250
2010-04-21,10800,10920,10800,10920,947400
2010-04-22,10820,10880,10640,10680,1170450
2010-04-23,10680,10760,10600,10600,982150
2010-04-26,10680,10880,10580,10660,1067100
2010-04-27,10560,10660,10540,10580,1465800
2010-04-28,10360,10500,10360,10460,570450
2010-04-29,10460,10500,10400,10460,620600
2010-04-30,10480,10640,10480,10540,4583250
2010-05-03,10460,10540,10380,10460,1194250
2010-05-04,10560,10640,10420,10460,505550
2010-05-06,10360,10360,10240,10280,1461100
2010-05-07,10100,10240,10020,10240,1460500
2010-05-10,10280,10420,10200,10220,539550
2010-05-11,10300,10340,9980,10000,1130350
2010-05-12,10260,10260,10060,10200,880400
2010-05-13,10220,10580,10220,10400,1475750
2010-05-14,10420,10440,10300,10400,1573450
2010-05-17,10360,10380,10120,10380,1135950
2010-05-18,10240,10300,10140,10220,883500
2010-05-19,10340,10340,10000,10220,1198650
2010-05-20,10120,10240,9990,10000,970900
2010-05-24,10000,10200,9900,10160,1157250
2010-05-25,10020,10140,9740,9880,678200
2010-05-26,9940,10160,9820,9850,1293000
2010-05-27,9860,10220,9820,10100,946850
2010-05-28,10160,10300,10000,10240,1483050
2010-05-31,10160,10320,10080,10320,1230800
2010-06-01,10300,10360,10160,10360,1788700
2010-06-03,10480,10580,10380,10560,2144800
2010-06-04,10560,10820,10540,10780,817600
2010-06-07,10660,10740,10420,10700,433600
2010-06-08,10660,10700,10560,10560,1343650
2010-06-09,10560,10560,10280,10300,915150
2010-06-10,10440,10520,10340,10500,286900
2010-06-11,10620,11040,10580,11040,1426050
2010-06-14,11060,11260,11000,11200,1488550
2010-06-15,11160,11160,10940,11060,1304850
2010-06-16,11180,11340,11160,11160,1643500
2010-06-17,11260,11260,10860,11060,935800
2010-06-18,11000,11060,10840,10920,838350
2010-06-21,11040,11080,10940,11000,825600
2010-06-22,10960,10960,10700,10700,810900
2010-06-23,10580,10680,10520,10680,983750
2010-06-24,10680,10840,10660,10780,1538800
2010-06-25,10660,11000,10540,10740,858000
2010-06-28,10660,10720,10560,10720,999300
2010-06-29,10780,10820,10580,10640,744550
2010-06-30,10460,10560,10360,10500,1183400
2010-07-01,10460,10600,10280,10280,1314550
2010-07-02,10380,10640,10380,10580,1848800
2010-07-05,10480,10620,10340,10560,368750
2010-07-06,10380,10720,10240,10720,1782350
2010-07-07,10640,10680,10260,10260,2562000
2010-07-08,10440,10480,10300,10400,1260450
2010-07-09,10420,10700,10400,10680,733350
2010-07-12,10680,10760,10640,10720,1172850
2010-07-13,10760,10780,10660,10740,644650
2010-07-14,10820,11080,10820,11000,2503350
2010-07-15,11000,11040,10860,11020,876650
2010-07-16,11000,11000,10880,10920,463950
2010-07-19,10740,10860,10700,10700,295400
2010-07-20,10760,11000,10680,10800,941250
2010-07-21,10720,11000,10720,11000,788500
2010-07-22,10800,10940,10680,10700,941700
2010-07-23,10720,10920,10720,10880,1079950
2010-07-26,10900,10960,10900,10960,830400
2010-07-27,11060,11200,11040,11140,1480650
2010-07-28,11140,11220,11140,11220,828050
2010-07-29,11140,11200,11140,11200,862550
2010-07-30,11180,11180,11060,11140,1793250
2010-08-02,11180,11260,11080,11260,819550
2010-08-03,11260,11340,11140,11340,2472950
2010-08-04,11340,11480,11280,11400,2086000
2010-08-05,11320,11340,11100,11180,1513400
2010-08-06,11140,11180,10920,10960,1447550
2010-08-09,10960,11000,10840,10900,329200
2010-08-10,11060,11060,10880,10880,550100
2010-08-11,10900,10900,10780,10780,769450
2010-08-12,10520,10580,10460,10460,1405350
2010-08-13,10700,10820,10540,10800,334400
2010-08-16,10740,10880,10720,10860,474600
2010-08-17,10880,10880,10840,10860,580450
2010-08-18,10800,11000,10780,10960,1271400
2010-08-19,10820,10960,10800,10920,1025300
2010-08-20,10640,10820,10640,10800,880600
2010-08-23,10800,10840,10780,10840,297400
2010-08-24,10840,10900,10780,10800,1171400
2010-08-25,10520,10720,10460,10480,1293550
2010-08-26,10500,10560,10460,10480,883200
2010-08-27,10500,10620,10500,10600,981650
2010-08-30,10700,10700,10560,10660,469100
2010-08-31,10580,10660,10580,10660,1531400
2010-09-01,10620,10800,10600,10800,1387650
2010-09-02,10860,11040,10700,10800,2047450
2010-09-03,10760,10960,10760,10860,1762950
2010-09-06,10760,11020,10760,10960,1113800
2010-09-07,11040,11040,10880,10980,2088800
