Date,Open,High,Low,Close,Volume
2012-02-29,508000,514000,495500,514000,51999
2012-03-02,516000,516000,500000,505000,32483
2012-03-05,500000,513000,493000,507000,29387
2012-03-06,510000,521000,497000,499000,92832
2012-03-07,499000,510000,498000,503000,31231
2012-03-08,506000,511000,500000,501000,44729
2012-03-09,506000,532000,505000,525000,68385
2012-03-12,533000,550000,527000,550000,75293
2012-03-13,545000,551000,537000,539000,62642
2012-03-14,547000,551000,538000,547000,63208
2012-03-15,542000,562000,540000,557000,39918
2012-03-16,554000,562000,547000,554000,18401
2012-03-19,560000,571000,551000,559000,26249
2012-03-20,553000,557000,535000,537000,39631
2012-03-21,531000,541000,524000,530000,51501
2012-03-22,533000,555000,531000,555000,29471
2012-03-23,555000,572000,554000,561000,44149
2012-03-26,561000,584000,557000,570000,47033
2012-03-27,576000,583000,550000,554000,35251
2012-03-28,554000,564000,549000,554000,27412
2012-03-29,550000,583000,545000,578000,38737
2012-03-30,577000,597000,565000,595000,62606
2012-04-02,590000,595000,562000,562000,38218
2012-04-03,570000,574000,556000,561000,47214
2012-04-04,566000,580000,560000,568000,25810
2012-04-05,577000,582000,569000,582000,19826
2012-04-06,578000,578000,564000,570000,14199
2012-04-09,574000,579000,562000,578000,15122
2012-04-10,579000,592000,579000,590000,24155
2012-04-12,581000,582000,566000,570000,49835
2012-04-13,571000,574000,556000,563000,30487
2012-04-16,556000,566000,552000,561000,23927
2012-04-17,564000,572000,561000,570000,32466
2012-04-18,571000,576000,561000,566000,34216
2012-04-19,564000,570000,563000,566000,16849
2012-04-20,571000,574000,566000,574000,17448
2012-04-23,568000,580000,565000,576000,18986
2012-04-24,570000,583000,556000,578000,43295
2012-04-25,590000,603000,581000,595000,60329
2012-04-26,599000,600000,588000,594000,26620
2012-04-27,590000,594000,580000,584000,19528
2012-04-30,589000,613000,583000,593000,25241
2012-05-02,601000,603000,573000,580000,42318
2012-05-03,586000,604000,577000,604000,18306
2012-05-04,604000,619000,595000,619000,22822
2012-05-07,618000,618000,595000,600000,32299
2012-05-08,601000,610000,591000,604000,12788
2012-05-09,608000,612000,592000,606000,19621
2012-05-10,610000,620000,594000,594000,27679
2012-05-11,592000,599000,568000,585000,62080
2012-05-14,583000,588000,574000,586000,24434
2012-05-15,586000,593000,573000,576000,24044
2012-05-16,576000,585000,572000,572000,16411
2012-05-17,570000,586000,560000,574000,30599
2012-05-18,577000,578000,552000,556000,34111
2012-05-21,564000,588000,556000,588000,37898
2012-05-22,580000,583000,566000,575000,37043
2012-05-23,569000,585000,553000,584000,47297
2012-05-24,578000,591000,568000,590000,51707
2012-05-25,583000,590000,575000,575000,25742
2012-05-29,579000,587000,575000,585000,25543
2012-05-30,580000,590000,573000,590000,29081
2012-05-31,588000,589000,577000,584000,36835
2012-06-01,584000,590000,577000,583000,26012
2012-06-04,571000,590000,571000,588000,40095
2012-06-05,590000,596000,583000,588000,23203
2012-06-07,588000,594000,583000,588000,33562
2012-06-08,583000,588000,579000,587000,28461
2012-06-11,582000,592000,575000,579000,26070
2012-06-12,577000,586000,575000,579000,16520
